Asteroid_ID,Est_Diameter_Min,Est_Diameter_Max,Relative_Velocity,Miss_Distance,Absolute_Magnitude,Orbit_ID,Orbit_Uncertainity,Hazardous
2001566,1.4274305148,3.1918316641,76768.6272477926,51882752.851231776,16.35,102,0,true
2001862,1.5942446807,3.5648394788,54823.8408518794,11256645.604519082,16.11,285,0,true
2001943,1.9344387205,4.3255364773,18330.0201479539,65958126.21966399,15.69,422,0,false
2002340,0.228325794,0.5105519964,74004.4719123509,38187116.90587336,20.33,60,0,true
2003103,2.3689449936,5.2971220406,55482.0863452837,17371863.726599976,15.25,453,0,false
2003361,0.3520099801,0.7871182442,17669.1773357714,43510897.13082208,19.39,96,0,true
2003362,0.5815070396,1.30028927,37279.21093304,32530625.542762592,18.3,23,1,true
2004034,0.5527833794,1.2360612132,44957.9853078142,21915298.003447466,18.41,74,0,true
2004183,3.9678475407,8.8723768253,51827.1920855888,18224809.67061008,14.13,350,0,true
2004450,0.9830033019,2.1980622051,61167.7346809356,58210971.26297821,17.16,164,0,true
2004581,0.1847374636,0.4130855266,70334.0957497068,45686284.341127776,20.79,65,0,true
2004660,0.4904050984,1.0965791366,19507.8541401335,4341920.575393955,18.67,105,0,true
2004769,0.8483107619,1.8968805296,35102.4782575658,48056725.01846893,17.48,89,0,true
2005381,1.2721987854,2.844722965,100791.7061410048,52232086.01816654,16.6,88,0,false
2005604,0.9344476509,2.0894884689,33581.0241762961,44501641.2183587,17.27,146,0,true
2005693,1.1872849879,2.6548499417,115951.3993709424,66751472.62658247,16.75,259,0,true
2006037,0.4661814374,1.0424133839,91199.661858472,53326844.20321269,18.78,72,0,true
2007482,1.2839702958,2.8710448625,91075.2025127868,52342392.92015805,16.58,96,0,true
2007753,0.6800721287,1.5206875095,40805.7136839238,10908700.227104738,17.96,138,0,true
2008014,0.4431543091,0.9909231597,58119.401228746,36284719.19485658,18.89,57,0,true
2009202,1.7723723926,3.9631451512,94545.984462187,67479884.14821492,15.88,104,0,false
2009856,1.0778416872,2.4101272816,89007.7098041316,55278986.362519525,16.96,80,0,true
2010115,1.0198938585,2.2805519975,51738.2501778684,16435872.414603991,17.08,154,0,true
2013651,0.7287104149,1.6294460236,66444.5253277987,46989410.4130764,17.81,132,0,true
2021374,0.8601119401,1.9232687664,46997.3498228694,25609936.944147784,17.45,143,0,false
2022753,0.7701139256,1.7220270881,81986.5301546686,21438822.48942713,17.69,192,0,true
2022771,1.0828167784,2.4212519237,66125.7262806998,17042900.568593554,16.95,386,0,false
2023187,1.6693791177,3.7328451875,109096.7165675449,9122396.641599998,16.01,278,0,true
2025143,0.4212646106,0.9419763057,24785.3993799033,5723079.978050703,19,185,0,true
2033342,0.6615382752,1.4792445531,31969.3456732242,1867809.830764912,18.02,167,0,true
2035107,1.1818299089,2.6426520142,47603.0768536796,44971027.887711205,16.76,337,0,true
2035396,1.038855101,2.3229506246,57434.7942219308,9516558.515695976,17.04,271,0,true
2037655,0.7287104149,1.6294460236,95025.125323026,3745564.479133814,17.81,75,0,true
2038071,0.3377185972,0.7551617405,34901.9852370717,12161896.229726212,19.48,50,0,true
2040267,2.0349557812,4.5502994579,100955.2815616241,29313326.05874164,15.58,324,0,false
2041429,0.1961349444,0.4385710684,49418.1379429747,12624266.085785303,20.66,68,0,true
2054509,0.0766575574,0.1714115092,25684.3436461577,1797792.761759888,22.7,85,0,false
2065679,0.3408434689,0.7621491661,68951.281877806,57168004.593555614,19.46,87,0,true
2065909,0.3635423218,0.8129053443,66038.3394134821,7512183.661687168,19.32,79,0,true
2066251,1.0198938585,2.2805519975,6344.0986425307,60572139.20610613,17.08,213,0,false
2066391,1.2780709882,2.8578536096,73688.1858500256,4836856.571290791,16.59,212,0,true
2067381,0.2914439045,0.6516883822,55586.822358326,11796474.17090784,19.8,52,0,true
2068216,1.2605351968,2.8186423881,78144.0153069269,62993935.97951042,16.62,335,0,true
2068346,1.1602590821,2.5944181791,30458.6787600413,73232486.09904674,16.8,190,0,true
2068347,0.2809020939,0.6281161771,45334.7030248189,8275848.818972349,19.88,37,0,true
2085236,0.4836764882,1.0815335068,38578.4577820004,19672477.65334632,18.7,78,0,true
2085640,0.160160338,0.358129403,35606.425017073,14576968.339517413,21.1,62,0,true
2085770,0.219055911,0.4898239078,64700.735134045,17251213.37356029,20.42,96,0,false
2085774,0.407901194,0.912094798,39416.6135131891,9803331.843048409,19.07,138,0,true
2085938,0.5064714588,1.1325046106,32651.8377013309,8773319.915333992,18.6,112,0,true
2085989,1.0293308202,2.3016536853,58078.5180255914,70818526.98244856,17.06,289,0,true
2085990,0.2347226375,0.5248557734,20832.1784937634,33191865.735831887,20.27,229,0,true
2088188,1.6313794097,3.6478752572,22768.7229712901,37229350.81607037,16.06,211,0,false
2088254,0.7630534787,1.7062394488,86952.8920460872,21122672.37402643,17.71,121,0,true
2089136,0.2424124811,0.5420507863,14759.5698314961,4263369.321900106,20.2,156,0,true
2090367,0.7253622947,1.6219593992,39522.0381051906,40976564.29756541,17.82,105,0,false
2090403,0.7525839925,1.682828966,59416.8916294134,52832993.330425695,17.74,154,0,true
2090416,0.5064714588,1.1325046106,52454.6595601877,12570583.563326215,18.6,121,0,true
2099935,1.5651464359,3.4997738255,51401.3249397611,39630617.720262446,16.15,212,0,false
2099942,0.4041615334,0.9037326626,29612.8291503897,14418818.587600565,19.09,193,0,true
2100085,0.7320739893,1.6369672047,37765.7724286465,6025774.767350642,17.8,92,0,true
2101869,0.3841978911,0.8590926012,48925.0153934615,44490255.219754495,19.2,57,0,true
2101955,0.2412986969,0.5395602892,24638.0625106044,4956237.137609917,20.21,95,0,true
2105140,1.8904055193,4.2270752462,129888.648028003,58772332.46806158,15.74,264,0,false
2136849,0.7665755735,1.7141150923,45469.0342364965,42953922.80847752,17.7,88,0,true
2138127,1.0012786977,2.2389272325,73247.2581149255,28387829.201883808,17.12,91,0,true
2138175,0.2231284644,0.4989304142,26750.0541897681,12289566.4029765,20.38,157,0,true
2138404,0.3569069267,0.7980681497,68298.1603031498,50989981.052029,19.36,81,0,true
2138925,1.6770846216,3.750075218,127110.0116702902,55524310.024599366,16,116,0,false
2138971,0.5230641758,1.1696070537,70082.757061938,41270602.112444825,18.53,167,0,true
2140333,0.3824326621,0.8551454293,58688.5226765933,27746133.26742002,19.21,46,1,false
2141432,0.2658,0.5943468684,96280.1783862599,64462290.78954408,20,102,0,true
2141495,0.5327886649,1.1913516723,85808.9320941949,18970909.913667507,18.49,146,0,true
2141498,0.5502435705,1.2303820278,87344.6054685109,32417367.23935364,18.42,55,0,false
2141851,0.7595475664,1.6983999907,104998.5151532676,10223807.084890164,17.72,96,0,true
2152671,0.2390864572,0.5346135707,30923.9138104395,34427648.45662664,20.23,77,0,true
2152680,0.3503926411,0.7835017643,50469.0686007563,54885636.78989786,19.4,28,0,true
2152754,0.3806755436,0.8512163929,60728.313035088,57675048.083623886,19.22,55,0,true
2152828,0.160160338,0.358129403,62517.6721616584,13646996.052941516,21.1,36,0,true
2152931,1.5651464359,3.4997738255,57992.4371615785,61644723.69566514,16.15,132,0,false
2152978,0.3285148278,0.7345814866,49211.1986640246,18473830.210213147,19.54,109,0,true
2153002,0.6259720997,1.3997161669,109741.8948275974,73206436.71170236,18.14,68,0,true
2153271,0.8720772891,1.9500241,76250.5664147705,52825718.78992184,17.42,175,0,false
2153311,0.8801465209,1.9680674509,96238.6614746748,52472140.57398882,17.4,64,0,true
2153415,1.0152078719,2.2700738128,91569.0387305236,11670605.066253629,17.09,79,0,false
2153958,0.5630603897,1.2590413069,61529.3450588909,41161369.637315445,18.37,106,0,true
2154276,0.8176265334,1.8282685088,68778.5594223827,12509854.532396523,17.56,87,0,true
2154302,0.77366861,1.729975604,69559.8315160694,30218911.33438396,17.68,50,0,true
2154631,0.6317641482,1.4126675811,87324.9758351921,70484609.42722368,18.12,37,0,false
2155338,0.2111324448,0.4721064988,36895.6745920145,27567907.705745976,20.5,24,0,true
2159686,1.4013769717,3.1335741707,62135.3902100162,54935341.29555664,16.39,105,0,false
2162015,0.3841978911,0.8590926012,53931.0154585579,51034354.7722284,19.2,17,1,false
2162120,0.2111324448,0.4721064988,38369.1534309932,46781763.43830945,20.5,49,0,true
2162173,0.3536347843,0.7907514169,25505.3495150322,60406325.04667643,19.38,117,0,true
2162361,0.2492039814,0.5572370428,100502.0149493185,73486595.79362956,20.14,81,0,true
2162422,0.2251930467,0.5035469604,40274.3528903794,25285285.735307094,20.36,65,0,true
2162474,0.5553349116,1.2417666126,105697.3028497571,12988679.750241363,18.4,54,0,true
2162510,0.8366715019,1.8708543531,84554.8012283245,27904268.059549864,17.51,111,0,true
2162567,0.2694976463,0.602615057,38071.8899424299,12548461.793259757,19.97,55,0,true
2162783,0.1925550782,0.4305662442,29227.1499546261,21041128.92377599,20.7,33,0,true
2162882,0.477040198,1.0666943108,88762.0051243976,31524505.44207227,18.73,81,0,true
2163015,0.1108038821,0.2477650126,25556.8407580871,20826229.5041106,21.9,16,0,false
2163191,0.3503926411,0.7835017643,41547.6035761705,11640935.1262193,19.4,67,0,false
2163243,1.3018321019,2.9109850751,93521.5871018681,63490070.61338085,16.55,117,1,true
2163295,0.3669061375,0.8204270649,74808.4191966569,45942307.79638214,19.3,39,0,false
2163364,0.4431543091,0.9909231597,79985.3199657383,64829111.93252206,18.89,97,0,true
2163683,0.4212646106,0.9419763057,104505.5272452408,30136849.781830344,19,41,0,true
2163692,0.5923180627,1.3244634524,85213.7392113572,72643558.19526273,18.26,105,0,false
2163694,0.9131770255,2.0419259045,39839.4956502011,61358002.32365297,17.32,92,0,false
2163818,0.5377184977,1.2023751136,25246.4336243548,65460047.08275973,18.47,84,0,true
2163899,0.7844314124,1.7540419619,39874.0832635129,50834648.31776298,17.65,80,0,true
2164120,0.4023045798,0.8995803882,48617.5626031216,34643062.881919295,19.1,39,0,false
2164202,0.1838886721,0.411187571,65650.4217656626,48674882.58079608,20.8,73,0,true
2164215,0.2658,0.5943468684,6894.3220777494,43882970.20622215,20,42,0,false
2164222,0.1952337862,0.4365560173,31085.3731192974,21483828.66454153,20.67,54,0,false
2168044,0.4212646106,0.9419763057,83720.4568212064,62093372.28548997,19,75,1,false
2169352,0.3931470096,0.8791034386,64614.6117919134,31939821.921045367,19.15,58,0,false
2171576,0.5064714588,1.1325046106,110050.6219452641,60932353.089879386,18.6,56,0,true
2172974,0.3669061375,0.8204270649,19392.7940270021,71562294.50103971,19.3,48,0,false
2174881,0.6645917971,1.4860724357,150704.4400775741,68555328.78449069,18.01,33,1,false
2175706,0.5451989071,1.2191018176,78159.8871459425,53262718.56760444,18.44,143,0,true
2175921,0.573528464,1.2824486324,105970.459383441,70191355.38550478,18.33,64,0,false
2177049,0.2914439045,0.6516883822,72678.4917494486,64811992.84986648,19.8,79,0,true
2179806,0.2424124811,0.5420507863,34159.2092545983,20215808.53026858,20.2,62,0,true
2186823,0.3986162293,0.8913329856,92399.4955504433,56356031.98024024,19.12,54,0,false
2190491,0.1756123185,0.3926810818,57066.6023420782,63211614.29928936,20.9,69,0,false
2192559,0.2315021222,0.5176544822,27437.6503112963,9257409.601902433,20.3,61,0,true
2194268,0.6089126221,1.3615700154,76442.6804820764,35163007.06398531,18.2,67,0,true
2196068,0.6676594135,1.4929318344,111014.6611697514,64078269.06299096,18,38,0,true
